RGB Random Forest - Speckle Experiments Summary
===============================================
Generated: Tue Jul 22 03:42:23 CEST 2025
Base Dataset Directory: /home/brusc/Projects/random_forest/datasets
Output Directory: /home/brusc/Projects/random_forest/experiments_organized/speckle_output

Processed Datasets: dataset_rgb_speckle_15 dataset_rgb_speckle_35 dataset_rgb_speckle_55

Experiment Results:
===================

=== dataset_rgb_speckle_15 ===
✗ dataset_rgb_speckle_15_original_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_15_original_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_15_original_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_15_original_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_15_original_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_15_original_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_15_original_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_15_original_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_15_original_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_15_original_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_15_original_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_15_original_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_15_original_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_15_original_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_15_original_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_15_original_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_15_original_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_15_original_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_15_original_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_15_original_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_15_original_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_15_original_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_15_original_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_15_original_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_15_original_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_15_original_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_15_original_sunset_hybrid_k20: FAILED

=== dataset_rgb_speckle_35 ===
✗ dataset_rgb_speckle_35_mini_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_mini_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_mini_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_mini_sunset_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_small_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_small_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_35_small_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_35_small_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_35_small_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_35_small_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_small_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_small_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_small_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_small_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_small_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_small_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_small_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_small_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_35_small_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_35_small_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_35_small_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_35_small_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_small_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_small_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_small_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_small_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_small_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_small_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_small_sunset_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_original_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_original_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_35_original_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_35_original_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_35_original_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_35_original_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_original_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_original_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_original_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_original_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_original_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_original_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_original_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_35_original_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_35_original_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_35_original_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_35_original_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_35_original_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_35_original_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_35_original_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_35_original_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_35_original_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_35_original_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_35_original_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_35_original_sunset_hybrid_k20: FAILED

=== dataset_rgb_speckle_55 ===
✗ dataset_rgb_speckle_55_mini_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_mini_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_mini_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_mini_sunset_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_small_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_small_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_55_small_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_55_small_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_55_small_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_55_small_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_small_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_small_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_small_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_small_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_small_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_small_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_small_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_small_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_55_small_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_55_small_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_55_small_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_55_small_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_small_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_small_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_small_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_small_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_small_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_small_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_small_sunset_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_wst_k2: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_wst_k5: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_wst_k10: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_wst_k20: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_original_assatigue_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_original_popolar_wst_k2: FAILED
✗ dataset_rgb_speckle_55_original_popolar_wst_k5: FAILED
✗ dataset_rgb_speckle_55_original_popolar_wst_k10: FAILED
✗ dataset_rgb_speckle_55_original_popolar_wst_k20: FAILED
✗ dataset_rgb_speckle_55_original_popolar_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_original_popolar_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_original_popolar_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_original_popolar_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_original_popolar_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_original_popolar_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_original_popolar_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_original_popolar_hybrid_k20: FAILED
✗ dataset_rgb_speckle_55_original_sunset_wst_k2: FAILED
✗ dataset_rgb_speckle_55_original_sunset_wst_k5: FAILED
✗ dataset_rgb_speckle_55_original_sunset_wst_k10: FAILED
✗ dataset_rgb_speckle_55_original_sunset_wst_k20: FAILED
✗ dataset_rgb_speckle_55_original_sunset_advanced_stats_k2: FAILED
✗ dataset_rgb_speckle_55_original_sunset_advanced_stats_k5: FAILED
✗ dataset_rgb_speckle_55_original_sunset_advanced_stats_k10: FAILED
✗ dataset_rgb_speckle_55_original_sunset_advanced_stats_k20: FAILED
✗ dataset_rgb_speckle_55_original_sunset_hybrid_k2: FAILED
✗ dataset_rgb_speckle_55_original_sunset_hybrid_k5: FAILED
✗ dataset_rgb_speckle_55_original_sunset_hybrid_k10: FAILED
✗ dataset_rgb_speckle_55_original_sunset_hybrid_k20: FAILED

Summary Statistics:
==================
Total experiments: 324
Successful experiments: 0
Failed experiments: 324
Success rate: 0%

Experiments per dataset:
  dataset_rgb_speckle_15: 0/108 successful
  dataset_rgb_speckle_35: 0/108 successful
  dataset_rgb_speckle_55: 0/108 successful
